True_Energy,mean,mean_error,trap_energy,True_T,sig,sig_error
66,20.730687455705173,0.2919535031125604,63.7481589510606,134,15.509299951922447,0.20647888886970003
66,18.207810320781032,0.2585566201745614,64.00255094283185,124,13.846666606007132,0.18285902141329424
66,19.354510354510353,0.2743987633149964,63.89828913503024,128,14.646315135513422,0.19406328741936615
66,17.395818815331012,0.2502116647759173,64.09992250806178,120,13.404434621986724,0.17695719636078186
71,9.26454644018793,0.19533460194834343,69.74968288780327,84,10.275045683089942,0.1381473872815671
71,11.645746164574616,0.17837039708315178,69.56033425810071,92,9.552396759843278,0.12614891174592674
71,10.423770781747436,0.18623313592384674,69.64522571774917,88,9.90193019817938,0.1317100103680141
71,8.900109769484084,0.18809653356464348,69.88148540094409,80,9.833329859787213,0.13302867410945268
71,13.456521739130435,0.2063519189390149,69.37941274777256,104,10.930809994971893,0.14593884829402468
71,13.265241765942537,0.1931638367015837,69.4451092149392,100,10.31936104260695,0.13661139422918261
71,15.450946040644709,0.2368741864761295,69.19852638672974,114,12.65449213300361,0.16752469522232333
71,14.679726815240834,0.23196198577590801,69.28131344605126,110,12.234757923027137,0.16405138020178942
71,17.14121338912134,0.2422651271943604,68.90712928297152,124,12.974196693387416,0.17133718738827552
71,16.051621904429716,0.23157743164883818,69.01147344152702,120,12.399668638164906,0.1637785374824709
71,19.471194879089616,0.27860153347961675,68.63450975636803,134,14.773764119330913,0.19703607155108827
71,18.16496658459374,0.25793385852819345,68.79496885336671,128,13.752979156961352,0.18241886539242028
76,10.6303074670571,1.3772070093183075,74.83590102638725,80,71.98459604860113,0.9740106913451636
76,12.044876325088339,1.3130162602087474,74.60356671761501,88,69.84950328950349,0.9286067806999677
76,11.018115942028986,1.3617091747031227,74.69613120011445,84,71.53834761202569,0.9630482725091511
76,13.170731707317072,1.289430355922253,74.51297867630119,92,69.07785422811548,0.911923834129929
76,16.615465360391884,1.2848201011732097,74.12306226938749,114,68.68682388070094,0.9086639885598143
76,14.644980762504373,1.2893910577428422,74.38735964049036,100,68.94324671852654,0.9118966527323445
76,14.983922829581994,1.316077489821232,74.31668710656028,104,69.62783800923607,0.9307736014264146
76,15.957751521661296,1.3166627971785347,74.21167940330938,110,69.58410288044885,0.9311879076506223
76,19.355813136635053,1.281839388607532,73.69164857170344,128,68.39547123293163,0.9065565506606935
76,22.04406538734897,2.133297054573439,73.52129798900035,134,113.16532637282283,1.5087369143162777
76,17.182735816219978,1.272975238862843,73.9230243749923,120,68.23194779215585,0.9002861178126061
76,18.274947662247033,1.2744463082364357,73.81170762311149,124,68.22752804496919,0.9013268852771429
81,10.536662011173185,0.15100768571913645,79.46562309450168,92,8.081380560452436,0.10679720497452161
81,7.840883977900552,0.1715921109251941,79.79114042250457,80,8.940920513221197,0.12135629651751588
81,9.362087326943557,0.16236584965558706,79.56193057310685,88,8.617635345705365,0.11483037681223826
81,8.140363636363636,0.1745855331396846,79.64964039050552,84,9.155342595970222,0.1234730660697643
81,13.576532399299474,0.20814182917435406,79.04759815204541,114,11.121475850964712,0.1472042811998768
81,12.997128499641063,0.21225685358334775,79.14204536056742,110,11.203462843879306,0.1501152039314458
81,11.629954401964223,0.16899965535002154,79.32989754317695,100,9.023695411666038,0.11952176553051039
81,11.919614147909968,0.1890763926077904,79.25414821493801,104,10.003195509144529,0.13372108880623196
81,17.334399431414358,0.2549964405293099,78.4080862216331,134,13.526834134300854,0.18034175879118347
81,14.233205708318831,0.20397918930334275,78.83457530845736,120,10.933360658032049,0.1442601763538744
81,15.192455466294097,0.2142904701421065,78.7162859632511,124,11.466042090226024,0.1515527143594122
81,16.17711267605634,0.22946400255173585,78.58861434514435,128,12.228515398299953,0.16228412590697577
85,9.073550212164074,0.15558807282147896,83.52880203253667,88,8.274009287362784,0.11003683797045027
85,10.263874345549738,0.14480434517995527,83.42773862906199,92,7.750753180645253,0.1024100085837071
85,7.416666666666667,0.16501163861350795,83.75563541359182,80,8.574256257563706,0.11670246220683246
85,7.706138757718852,0.16684202155582714,83.62051398083565,84,8.754040450658598,0.1179965573161993
85,11.386969042476602,0.18564012198784255,83.20417445503458,104,9.784484865798222,0.13129102173833193
85,11.31076815152578,0.1633771354091692,83.28392786532623,100,8.723482329650048,0.11554534611906639
85,13.050070028011204,0.20229122878612593,82.98722685817182,114,10.81075820617106,0.14306654850672756
85,12.325923269989243,0.20564941501316616,83.08633812637386,110,10.860547905417711,0.14544217249158978
85,16.69452347083926,0.24810026173482605,82.31751680773887,134,13.156333703679167,0.17546457951066322
85,13.667246780368952,0.19451623309851648,82.76381605522967,120,10.426142674511842,0.13756769102927047
85,14.69601677148847,0.2060173019171838,82.63994863536304,124,11.0214442932219,0.14570168797398317
85,15.430535966149506,0.21960775994333961,82.50643315134148,128,11.695015326741222,0.15531352116805924
90,7.013996316758748,0.15479496454426542,88.71125415245086,80,8.065694083340066,0.10947673244046595
90,9.872473867595819,0.13355693194578774,88.38038304726251,92,7.1549628359003385,0.0944554693436862
90,8.626151665485471,0.14292411796160195,88.48739135682393,88,7.592486448007503,0.10108052396965363
90,7.338933528122717,0.1544009825514141,88.58410596874839,84,8.079170652013833,0.10919792478930354
90,11.613538681948423,0.1947693141747194,88.01670408363195,110,10.29148965881523,0.13774737325509345
90,12.539649122807017,0.19409060455398364,87.91176274082959,114,10.36160286403474,0.1372668666639693
90,10.865509761388287,0.17865504787575334,88.14170725515493,104,9.39596476577552,0.12635103793943134
90,10.793455313159747,0.15691034016126298,88.22646576801286,100,8.36495484042473,0.11097189083977496
90,13.044963401882189,0.18402476269152948,87.6753669886949,120,9.856927006469103,0.13014784132521892
